               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.048641,            0.017341,            0.020119,             0.42208,             0.75649,             0.58317,              0.2439,            0.046371,           0.0081205,            0.017828,           0.0094225,           0.0094225,           0.0094225
                  37,            0.047549,            0.017125,            0.019626,             0.47987,             0.72078,             0.67631,             0.42702,            0.042528,           0.0078931,             0.01938,            0.009406,            0.009406,            0.009406
                  38,            0.049962,            0.018599,            0.020227,             0.45678,             0.68232,             0.60644,             0.31733,            0.052165,            0.007617,            0.017636,           0.0093895,           0.0093895,           0.0093895
                  39,            0.050627,            0.017297,            0.019577,             0.54456,             0.63797,             0.70207,             0.26916,            0.052274,            0.007534,            0.016034,            0.009373,            0.009373,            0.009373
                  40,            0.051272,            0.017716,            0.018985,              0.7406,             0.66558,             0.74714,             0.52701,            0.038982,           0.0073557,            0.016187,           0.0093565,           0.0093565,           0.0093565
                  41,            0.043644,            0.017316,            0.019315,             0.73203,             0.75134,             0.74529,             0.47008,            0.039756,           0.0070038,            0.014417,             0.00934,             0.00934,             0.00934
                  42,            0.045985,            0.015778,            0.017346,             0.91668,             0.63625,             0.77821,             0.51878,             0.03868,           0.0069499,            0.014159,           0.0093235,           0.0093235,           0.0093235
                  43,            0.046404,            0.016899,             0.01763,             0.86037,             0.72179,              0.7711,             0.49212,            0.041248,            0.006814,            0.014567,            0.009307,            0.009307,            0.009307
                  44,            0.045367,            0.015735,            0.017556,             0.96731,             0.66776,             0.76166,             0.44112,            0.047628,           0.0067334,             0.01363,           0.0092905,           0.0092905,           0.0092905
                  45,            0.045859,            0.016783,            0.017044,             0.97766,             0.55142,             0.76941,             0.46331,            0.040076,           0.0067883,            0.013594,            0.009274,            0.009274,            0.009274
                  46,            0.044476,            0.014951,            0.016241,             0.82725,             0.62013,              0.7328,             0.38918,            0.044233,           0.0068913,            0.014249,           0.0092575,           0.0092575,           0.0092575
                  47,            0.046908,            0.015571,             0.01674,             0.94831,             0.74675,             0.82484,             0.55744,             0.03789,           0.0065255,            0.013004,            0.009241,            0.009241,            0.009241
                  48,            0.044734,             0.01444,            0.015417,             0.92424,             0.79221,             0.79458,             0.45785,            0.038609,           0.0064659,            0.012849,           0.0092245,           0.0092245,           0.0092245
                  49,            0.041777,            0.015683,            0.015402,             0.98971,             0.78704,             0.82982,             0.56861,            0.035822,           0.0067396,            0.012127,            0.009208,            0.009208,            0.009208
                  50,            0.043863,            0.014686,            0.013776,             0.90998,             0.72055,             0.79551,             0.51282,            0.036803,           0.0067725,            0.012552,           0.0091915,           0.0091915,           0.0091915
                  51,            0.041336,            0.015237,            0.014769,             0.80602,             0.72078,              0.8115,             0.51958,            0.043408,           0.0069132,            0.011131,            0.009175,            0.009175,            0.009175
                  52,            0.040054,            0.015229,            0.013921,             0.73215,             0.79221,              0.7672,             0.47866,            0.035337,            0.006434,            0.010107,           0.0091585,           0.0091585,           0.0091585
                  53,            0.038661,             0.01472,            0.014064,             0.89368,              0.7674,             0.79608,             0.56844,            0.037812,           0.0061684,            0.010372,            0.009142,            0.009142,            0.009142
                  54,            0.041719,            0.014777,            0.013227,             0.97447,             0.78398,             0.84885,             0.54177,            0.038364,            0.006228,           0.0096165,           0.0091255,           0.0091255,           0.0091255
                  55,            0.042016,             0.01395,            0.012522,             0.97336,             0.75733,             0.84874,             0.48813,            0.043832,           0.0064015,            0.008918,            0.009109,            0.009109,            0.009109
                  56,            0.040483,            0.013947,            0.011581,              0.9356,             0.78678,             0.84846,              0.5115,            0.035848,           0.0060725,           0.0091251,           0.0090925,           0.0090925,           0.0090925
                  57,            0.041275,            0.014142,            0.012345,             0.94707,             0.79221,             0.87317,             0.57514,            0.035003,           0.0060921,           0.0093822,            0.009076,            0.009076,            0.009076
                  58,            0.042545,            0.014888,            0.012739,             0.97704,             0.79153,             0.84854,             0.62127,            0.032586,           0.0058322,             0.00868,           0.0090595,           0.0090595,           0.0090595
                  59,            0.037176,            0.013762,            0.011488,             0.91089,             0.79461,             0.85778,             0.49162,            0.035664,           0.0060239,           0.0083481,            0.009043,            0.009043,            0.009043
                  60,            0.038499,            0.014857,           0.0098707,             0.94849,             0.79221,             0.86753,             0.59397,            0.037688,           0.0058331,           0.0074806,           0.0090265,           0.0090265,           0.0090265
                  61,            0.037641,            0.014436,            0.010047,                   1,             0.85926,             0.88133,             0.55072,            0.036285,           0.0059509,           0.0077888,             0.00901,             0.00901,             0.00901
                  62,             0.03696,            0.013539,            0.010178,             0.83969,             0.82405,             0.83875,             0.47563,            0.041107,           0.0059619,           0.0061855,           0.0089935,           0.0089935,           0.0089935
                  63,            0.038989,            0.013443,           0.0096991,                   1,             0.85017,             0.89787,             0.60311,            0.034024,           0.0055556,           0.0066978,            0.008977,            0.008977,            0.008977
                  64,            0.036695,            0.012541,           0.0095563,             0.92158,             0.88257,             0.88298,             0.58057,            0.034158,            0.005837,           0.0093872,           0.0089605,           0.0089605,           0.0089605
                  65,            0.038773,            0.013015,           0.0084584,             0.93086,             0.82362,             0.86192,             0.64936,             0.03178,           0.0056458,           0.0082062,            0.008944,            0.008944,            0.008944
                  66,            0.037853,            0.012945,           0.0076208,             0.97182,             0.83299,              0.8814,             0.63357,            0.032622,           0.0055194,           0.0062592,           0.0089275,           0.0089275,           0.0089275
                  67,            0.038319,            0.012189,           0.0079621,             0.94932,             0.79221,             0.85418,             0.64567,            0.033404,           0.0057435,           0.0074547,            0.008911,            0.008911,            0.008911
                  68,            0.036711,            0.013542,           0.0083309,             0.98415,             0.82816,             0.89117,             0.59819,            0.032243,           0.0061574,           0.0055475,           0.0088945,           0.0088945,           0.0088945
